title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	feed label	language	additional image link	brand	color	cost of goods sold	custom label 0	description	gender	google product category	identifier exists	image link	item group id	link	product type	sell on google quantity	shipping weight	size
Channel Upholstered King Single Bedhead | OMF	shopify_AU_7544736940229_42500910514373	728.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia	Graphite		Receiving Clicks	"Upgrade your bedding with the Premium Channel Bedhead in soft grey or graphite from OMF. Classy design meets comfort, rendering a stylish addition to your bedroom. Order today for a seamless sleep experience."		furniture > beds & accessories > headboards & footboards	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/FSChannel_BH_QN_CH_02_7b02eeab-a18e-4ba9-8bc1-c2ae57705f7e.jpg?v=1699548287		https://www.omf.net.au/products/premium-channel-upholstered-ks-bedhead?variant=42500910514373&currency=AUD	Bedhead		0 kg	
Ocean Choice 7 Gel Double Size Mattress Topper | OMF	shopify_AU_7535312208069_42481327472837	248.00 AUD	4	1			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ModernMotionBedFrameOceanChoice7raised800x72_6c85a37d-c6a6-49d7-b26e-4a446a773e8a.png?v=1699029485	Original Mattress Factory Australia		54.71 AUD	Receiving Clicks	"Experience significant comfort with the Ocean Choice 7 Gel Double Size Mattress Topper from OMF. Perfectly designed to ensure a good night's sleep. Upgrade your mattress today!
"		home & garden > linens & bedding > bedding > mattress protectors > mattress pads		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OC7GEL_6be9a67c-800d-40bc-a846-b0efe1a92b23.jpg?v=1699029484		https://www.omf.net.au/products/ocean-choice-7-gel-double-size-mattress-topper?variant=42481327472837&currency=AUD	Mattress Topper		3.7 kg	
Channel Upholstered Double Bed Frame | OMF	shopify_AU_7510202679493_42426867613893	648.00 AUD	1	0	518.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Upgrade your sleep with the Channel Upholstered Double Bed Frame from OMF. Its superior comfort melds with chic design, cultivating a restful and stylish ambiance. See how it enhances your bedroom's charm.
"		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ChannelQNGreyRevivifySupportFA01_71ca61a3-ede9-4ff2-8d28-97d1d7ce1ae0.jpg?v=1697733305		https://www.omf.net.au/products/channel-upholstered-double-bed-frame?variant=42426867613893&currency=AUD	Bed Frame		0 kg	
Riviera Bedside Table White | OMF	shopify_AU_7063163502789_41027373662405	298.00 AUD	48	2	168.00 AUD		in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/RIVIERA1DFA01.jpg?v=1699288568	Original Mattress Factory Australia			Receiving Clicks	"The Riviera bedside table is perfect for a contemporary bedroom with its modern and simple design.A clean whitewashed look as well as a natural finish to complement any bedroom decor. Made from sustainably sourced timber, this one drawer bedside table provides a practical storage option. Match with other items from the Riviera range bed frame and 5 drawer chest to complete your bedroom. Features: Mountain Ash finish - brushed white washed Stylish Sustainable Side panel veneer over MDF Matching bedside and tallboy 2 Year warranty Fully Assembled Dimensions in mm: L 530 x 420 W x 550 H *Images don't show Natural colour"		furniture > tables > nightstands		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RIVIERA1DRA01.jpg?v=1715756075		https://www.omf.net.au/products/riviera-bedside-table?variant=41027373662405&currency=AUD	Bedside Table		35.5 kg	
Timber 4 Drawer East West Base Queen Midnight Grey | OMF	shopify_AU_7706829652165_42998035251397	1498.00 AUD	4	0			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	The Timber 4 Drawer East West Bed Base is the perfect bedroom addition. This platform base offers modern style and storage solutions. See it online today! 		furniture > beds & accessories > beds & bed frames	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SteelstrongGridEastWest01.jpg?v=1712162069		https://www.omf.net.au/products/timber-4-drawer-east-west-base-midnight-grey-qn?variant=42998035251397&currency=AUD	Beds & Bases		0 kg	
Taylor Bed Frame Single White | OMF	shopify_AU_7574471901381_42579607126213	288.00 AUD	24	4			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Upgrade your kids bedroom with the classic and timeless Taylor Bed Frame! Made from 100% pine for strength. Packaged in one box for easy transport.  Don't forget the matching trundle to accommodate your kid's unexpected sleepovers! With a weight capacity of 150kgs, this bed frame is suitable for toddlers to teens"		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/007.jpg?v=1701707877		https://www.omf.net.au/products/taylor-bed-frame-sg-white?variant=42579607126213&currency=AUD	Bed Frame		17.3 kg	
Revivify Firm King Single Mattress | OMF	shopify_AU_7594097672389_42640289398981	548.00 AUD	1	1	477.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"With its Euro-top pillow, this hybrid firm mattress offers a firm feel with quality sleep night after night that you will love. For the best bed in box, order now!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RevivifyFirm-SteelstrongBase-FA01_8534bc2c-e601-46a8-9e46-6f662a404f18.jpg?v=1703695057		https://www.omf.net.au/products/revivify-firm-ks-mattress?variant=42640289398981&currency=AUD	Mattress		32.81 kg	
Ezy Standard Bed Base Queen Midnight Grey | OMF	shopify_AU_6158790295749_39340246663365	398.00 AUD	26	3			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_MG_Q_RA_01.jpg?v=1699547731,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_MG_Q_RA_02.jpg?v=1699547732,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_MG_Q_FT_01.jpg?v=1699547733,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_PlatBlu_Q_RA_02.jpg?v=1699547734,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_PlatBlu_Q_RA_01.jpg?v=1699547735,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_PlatBlu_Q_FT_01.jpg?v=1699547736,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_PlatBlu_Q_FT_02.jpg?v=1699547737,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_PlatBlu_Q_SC.jpg?v=1699547738,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/MidnightGrey_9752d99a-4331-4f46-b30e-193815e0cc84.jpg?v=1699547740	Original Mattress Factory Australia			Receiving Clicks	Designed to make it stylish and stand out. This OMF Bed Base comes in a box and can be easily transported anywhere. Order online today!		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EzyBase_MG_Q_FT_02.jpg?v=1699547730		https://www.omf.net.au/products/ezy-base-qn?variant=39340246663365&currency=AUD	Beds & Bases		0 kg	
Bamboo Jersey Plus Queen Mattress Protector Pack | OMF	shopify_AU_7451330674885_42242523922629	99.95 AUD	4	0			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia		39.14 AUD	Receiving Clicks	"If you want to extend the life of your mattress and pillow, look no further than the Bamboo Jersey Plus Mattress and Pillow Protector Pack. This mattress and pillow protector pack features a soft bamboo viscose and cotton blend that delivers a whisper-quiet softness and absorbency. While the jersey weave and a waterproof layer for long-lasting protection. Get this superior mattress cover for superior protection. Key Features 5-year Stain Safety Guarantee Waterproof Asthma & Allergy-friendly Machine Washable Available in 7 Sizes The pack contains1 Mattress protector2 Pillow Protectors (1 pillow protector with either the single and king single set) Care/Washing Instructionsmachine wash on a cold or warm gentle cycle. Do not use solvents. Rinse well on a gentle spin dry."		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlus_1.png?v=1687451476		https://www.omf.net.au/products/bamboo-jersey-plus-qn-mattress-protector-pack?variant=42242523922629&currency=AUD	Mattress Protector		0 kg	
Eco Renew Corn Fibre Quilt Double Size | OMF	shopify_AU_7521950073029_42458002587845	258.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Stay snug and eco-friendly with the double size Eco Renew Corn Fibre Quilt from OMF. Experience sustainable comfort at its best while supporting green initiatives. Snuggle up tonight!
"		home & garden > linens & bedding > bedding > quilts & comforters	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ecorenew_quilt_f55c43b8-529b-4f39-bde2-cb10ec3d5f8f.jpg?v=1698338564		https://www.omf.net.au/products/eco-renew-corn-fibre-quilt-db-size?variant=42458002587845&currency=AUD	Quilt		0 kg	
Basic Plus King Single Mattress | OMF	shopify_AU_7492099702981_42373322703045	298.00 AUD	4	5		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Sleep better with OMF's Basic Plus King Single Size Mattress. Promising comfort and durability, it's the affordable, high-quality option for a restful night. Experience the difference today.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BasicsPlusFA_6c3d2249-cbf9-4dd7-9c3d-68799b171fba.jpg?v=1699547930		https://www.omf.net.au/products/basic-plus-ks-mattress?variant=42373322703045&currency=AUD	Mattress		0 kg	
Brighton Support King Mattress | OMF	shopify_AU_7492102127813_42373331779781	5698.00 AUD	3	6	2564.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience supreme comfort with our Brighton Support King Mattress at OMF. Specially designed to help you achieve optimal sleep. Find your perfect night's sleep here.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/AUMATMEQNBRIXXX_FA_69cf7eab-c614-41fb-80ff-fc5d5fcb3db4.jpg?v=1696869544		https://www.omf.net.au/products/brighton-support-ks-mattress?variant=42373331779781&currency=AUD	Mattress		0 kg	
Cotton Terry King Single Size Mattress Protector | OMF	shopify_AU_7520410173637_42452726251717	65.00 AUD	0	0			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Protect your mattress with our Cotton Terry King Single Size Mattress Protector. Soft, durable and waterproof, it's an investment in extending the life of your mattress. Order yours today from OMF.
"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Terry_MP_KSingle_eb964abd-528d-4c21-8928-3b818d6df1a4.jpg?v=1700532447		https://www.omf.net.au/products/cotton-terry-ks-size-mattress-protector?variant=42452726251717&currency=AUD	Mattress Protector		0 kg	
Microfibre Jersey Plus King Mattress Protector Pack | OMF	shopify_AU_7506041962693_42418490540229	79.95 AUD	2	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyStyled_846e4578-e6bf-4cfe-ba6c-e37f6296d2c4.jpg?v=1697560575,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyMP_9fc4510e-9674-41be-873e-8fca5fa2ed40.jpg?v=1697560577,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPillow_63b07d7d-3296-4dd9-a806-40f31cbad69a.jpg?v=1697560578,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPillowZipDetailjpg_16791cd5-8a2f-4795-a1e4-37b363c604d2.jpg?v=1697560579,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyMPDetail_b157c430-3add-4467-b753-b3c89f1c0cd7.jpg?v=1697560581	Original Mattress Factory Australia			Receiving Clicks	"Protect your king-sized mattress with OMF's Microfibre Jersey Plus Protector Pack. High-quality, easy to clean, offering optimal comfort. Upgrade your bedding today."		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPlus_1_ca7aee49-2d55-4e59-b8c3-979c8caff83f.png?v=1697560574		https://www.omf.net.au/products/microfibre-jersey-plus-kg-mattress-protector-pack?variant=42418490540229&currency=AUD	Mattress Protector		0 kg	
Mornington Support Double Mattress | OMF	shopify_AU_7817945546949_43313942986949	2098.00 AUD	0	1	1049.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	The Mornington Mattress range from OMF it features 3 comfort feels and 6 sizes to choose from and is motion bed friendly - it's a game changer for your sleep routine! 	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MORNINGTON_MODERN1K_b27254b7-4c00-43ff-a3bb-532bf7f295bf.png?v=1713514599		https://www.omf.net.au/products/mornington-support-db-mattress?variant=43313942986949&currency=AUD	Mattress		0 kg	
Essentials Motion Queen Bed | OMF	shopify_AU_6955011702981_40788341129413	798.00 AUD	63	15		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"The adjustable electric base features give you present or self adjusting elevations, from zero gravity to head/foot with a wireless remote. Shop now!"		furniture > beds & accessories > beds & bed frames	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/OM-FBMADB-14Q7.jpg?v=1684731490		https://www.omf.net.au/products/essentials-motion-adjustable-base?variant=40788341129413&currency=AUD	Beds & Bases		0 kg	
Bamboo Jersey Plus Long Single Mattress Protector | OMF	shopify_AU_7526146375877_42466517844165	79.95 AUD	0	1			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusStyled_61d7b98a-20b5-43d2-8213-7f55b9f8a993.jpg?v=1698684037,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusPillowProtector_2177bc83-08d1-477f-bb1d-8dc3882d69da.jpg?v=1698684038,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusMattProtector_b62b1052-3a86-4b89-b933-32d8c1ce9907.jpg?v=1698684040,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusZipper_f3b14245-6270-4ce1-8d17-7557d4662eeb.jpg?v=1698684041	Original Mattress Factory Australia		28.50 AUD	Receiving Clicks	"Protect your long single mattress with our Bamboo Jersey Plus Protector at OMF. Made from eco-friendly bamboo, it offers durability & extra comfort. Add to your cart today!
"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlus_1_2f24367a-d4e0-4b6c-8ade-2b6097172df6.png?v=1698684036		https://www.omf.net.au/products/bamboo-jersey-plus-ks-mattress-protector-1?variant=42466517844165&currency=AUD	Mattress Protector		0 kg	
Bamboo Jersey Queen Mattress Protector | OMF	shopify_AU_6218371170501_38129232838853	109.00 AUD	0	1			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/PAB_BambooJersey_MP_500x500px_MP1.jpg?v=1700584371,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/MattressCover_Bamboo_01.jpg?v=1700584372,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/PAB_BambooJersey_MP_500x500px_MP10.jpg?v=1700584373,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/PAB_BambooJersey_MP_500x500px_MP11.jpg?v=1700584374,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/PAB_BambooJersey_MP_500x500px_MP5.jpg?v=1700584375,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/PAB_BambooJersey_MP_500x500px_MP6.jpg?v=1700584376,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/Bamboo_MP_XLSingle.jpg?v=1700584377	Original Mattress Factory Australia			Receiving Clicks	This super-soft mattress protector is made from the smooth fibres of rayon and is 70% bamboo and 30% cotton. Built for protection. Order online today!		home & garden > linens & bedding > bedding > mattress protectors	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/Bamboo_MP_Queen.jpg?v=1700584370		https://www.omf.net.au/products/bamboo-jersey-qn-mattress-protector?variant=38129232838853&currency=AUD	Mattress Protector		0 kg	
Microfibre Jersey Plus Single Mattress Protector Pack | OMF	shopify_AU_7506040357061_42418481299653	45.95 AUD	0	1			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Enjoy a restful and comfortable sleep with this Microfibre Jersey Plus Mattress and Pillow Protector Pack. Made with a breathable jersey weave for a superior stretch, it is waterproof and conforms to Oeko Tex standards. Moreover, it provides an asthma and allergy-friendly solution. Backed by a 5-year stain safety guarantee, it is an excellent choice for your essential mattress protection. Key features: Fits all standard and extra deep mattresses. 5-year Stain safety guarantee Machine washable and tumble dry. Available in 5 Sizes The pack contains1 Mattress protector2 Pillow Protectors (1 pillow protector with either the single and king single set)Care / Washing instructionsmachine wash on a cold or warm gentle cycle. Do not use solvents. Rinse well on a gentle spin cycle"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPlus_1_8f1eca84-8c09-4b3e-aec2-a1a9643cbf08.png?v=1697560556		https://www.omf.net.au/products/microfibre-jersey-plus-sg-mattress-protector-pack?variant=42418481299653&currency=AUD	Mattress Protector		0 kg	
Ironline Bamboo King Single Bed Frame with USB | OMF	shopify_AU_7510197043397_42426848542917	398.00 AUD	21	5		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience the comfort of the Ironline Bamboo King Single Bedframe with USB. Durable, stylish, and eco-friendly, it’s the perfect upgrade for your bedroom. Upgrade your sleep experience today!
"		furniture > beds & accessories > beds & bed frames	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OM-Ironline14-Bambu11k_28faf98e-cd36-463c-a6b0-ed969c321216.jpg?v=1697733286		https://www.omf.net.au/products/ironline-bamboo-ks-bedframe-with-usb?variant=42426848542917&currency=AUD	Bed Frame		0 kg	
Essentials Tufted King Single Bed Frame with USB | OMF	shopify_AU_7510207987909_42426874593477	428.00 AUD	1	1			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OM-FPPOPE-14-10_b18cffb1-0768-4039-b168-e0447e838d44.jpg?v=1697733319,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platformbedwooddetail-BG_51694ba0-896d-4025-ae9c-5ffec068bfdb.jpg?v=1697733320,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OM-FPPOPE-14-02_8eb3b288-4ff0-44db-aad9-9e438e91c87f.jpg?v=1697733321,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platformbedwooddetail-Q_31987e26-04ff-4c49-8a4e-f6dacbde54c9.jpg?v=1697733323	Original Mattress Factory Australia			Receiving Clicks	"Upgrade your bedroom with our Essentials Tufted King Single Bed Frame with USB charging port. Durable, stylish, and convenient. Perfect for modern living. Shop now on OMF."		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OM-FPPOPE-14-6_399137e1-4cd1-4b43-9c04-fa9f579ebccc.jpg?v=1697733317		https://www.omf.net.au/products/essentials-tufted-ks-bed-frame-with-usb?variant=42426874593477&currency=AUD	Bed Frame		0 kg	
Ironline Bamboo Queen Bed Frame with USB | OMF	shopify_AU_7159418552517_41377544437957	498.00 AUD	47	12		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Tired of losing cords, cables and phones around your bedroom? OMF has the answers with strong metal and bamboo wood bed frame boasting clean lines and a wide headboard shelf with three built-in USB ports. Hop online today!"		furniture > beds & accessories > beds & bed frames	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/OM-Ironline14-Bambu11k.jpg?v=1700066303		https://www.omf.net.au/products/ironline-bamboo-qn-bedframe-with-usb?variant=41377544437957&currency=AUD	Bed Frame		0 kg	
Yarra Floating Queen Timber Bed Frame- Ghost Gum | OMF	shopify_AU_7559181304005_42531272392901	1586.00 AUD	5	6			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Step into a world of relaxation with the Yarra Floating Queen Base with Tasmanian Oak Veneer Bedhead at the helm. Made to order and locally handcrafted with the finest Tasmanian Oak Veneer, customize your sleep experience with a mix-and-match of headboards, bases - in a snap! So lay your head to rest and feel like you're floating off into dreamland! Mattress and accessories sold separately."		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Yarra-Timber-floating-Bed-2Draw-Bedside-Dresser.jpg?v=1700498488		https://www.omf.net.au/products/yarra-floating-qn-base-with-plain-veneer-bedhead-ghost-gum?variant=42531272392901&currency=AUD	Bed Frame		70 kg	
Wraparound Buttons Upholstered King Bedhead | OMF	shopify_AU_7544753717445_42500991549637	798.00 AUD	0	1		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia	Graphite		Receiving Clicks	"Experience luxury with the Premium Buttons Upholstered Bedhead in a choice of designer colours from OMF. Crafted for comfort and style with top-quality materials, it is an elegant addition to any bedroom. Buy yours today."		furniture > beds & accessories > headboards & footboards	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/FSButtons_BH_KG_CH_02_00829e13-d37d-4479-865e-092b3ffd87ac.jpg?v=1699548379		https://www.omf.net.au/products/premium-buttons-upholstered-king-bedhead?variant=42500991549637&currency=AUD	Bedhead		0 kg	
Microfibre Jersey Plus King Single Mattress Protector Pack | OMF	shopify_AU_7506037801157_42418473599173	54.95 AUD	0	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyStyled_965c016c-1c0c-44ee-8351-1de71625e722.jpg?v=1697560549,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyMP_85e202a4-ef3d-40ac-a807-8e323de5f5c2.jpg?v=1697560551,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPillow_3914f2de-b716-4231-9655-a18366278a86.jpg?v=1697560552,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPillowZipDetailjpg_9c4e68f9-a1d0-4151-9436-07946f489cb2.jpg?v=1697560553,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyMPDetail_9cc5c8a5-d445-4969-b88c-c401bcca769f.jpg?v=1697560555	Original Mattress Factory Australia			Receiving Clicks	"Protect your king single size mattress with our Microfibre Jersey Plus Mattress Protector Pack. High-quality and comfortable, ensuring a good night's sleep. Shop with OMF today!"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPlus_1_de772e8e-4ca8-4766-b889-9ad4c352e5fd.png?v=1697560548		https://www.omf.net.au/products/microfibre-jersey-plus-ksmattress-protector-pack?variant=42418473599173&currency=AUD	Mattress Protector		0 kg	
P0 by OMF Single Mattress | OMF	shopify_AU_7492092362949_42373311168709	398.00 AUD	2	2		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience the sleep of your dreams with the P0 by OMF Single Mattress. Ideal for a restful night, with quality assured by OMF. Upgrade your sleep today."	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OriginalP0FA500_596a654d-2a70-488e-9fe7-a5809cb27692.jpg?v=1695832466		https://www.omf.net.au/products/p0-by-omf-sg-matress?variant=42373311168709&currency=AUD	Mattress		0 kg	
Steel Strong Single Mattress Base | OMF	shopify_AU_7517070033093_42446658601157	348.00 AUD	0	0	313.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience comfort like never before with the Steel Strong Single Mattress Base from OMF. Perfect blend of strength and support for a good night's sleep. Add to your cart today.
"		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Steel_Strong_QN_1K_MidnightGrey_6c6562c9-7d89-42bd-b61b-4fa444ad133a.jpg?v=1698165494		https://www.omf.net.au/products/steel-strong-sg-mattress-base?variant=42446658601157&currency=AUD	Beds & Bases		25.8 kg	
Mandalay Bay Plush Queen Mattress | OMF	shopify_AU_6153523593413_37876838957253	3974.00 AUD	6	10	1868.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"A gel infused latex mattress for pressure relief, our advanced comfort Mandalay bay bedding promises a luxury sleep. Find your memory foam mattress here. "	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/MANDALAY_BAY_QN_PL.gif?v=1649061603		https://www.omf.net.au/products/mandalay-bay-plush-q-mattress?variant=37876838957253&currency=AUD	Mattress		0 kg	
Ocean Choice 7 Charcoal Double Mattress Topper | OMF	shopify_AU_7535307751621_42481317970117	248.00 AUD	0	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ModernMotionBedFrameOceanChoice7raised800x72_a133fdca-11a4-4bae-8636-1b2d5f3f4ef4.png?v=1699029468	Original Mattress Factory Australia		54.71 AUD	Receiving Clicks	"Upgrade your sleep experience with the Ocean Choice 7 Charcoal Double Mattress Topper from OMF. Infused with activated charcoal for freshness and comfort. Indulge in the luxury you deserve!
"		home & garden > linens & bedding > bedding > mattress protectors > mattress pads		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OC7CHA_e2d5ee6a-f08d-4e2b-882c-8ce2e4a1c250.jpg?v=1699029467		https://www.omf.net.au/products/ocean-choice-7-charcoal-db-mattress-topper?variant=42481317970117&currency=AUD	Mattress Topper		3.7 kg	
Ruby Upholstered Double Bed Frame with USB Port | OMF	shopify_AU_7595509219525_42647857725637	548.00 AUD	8	2	438.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Want to take your bedroom style to the next level? The Ruby Upholstered Bed Frame from OMF is just the glamour your bedroom needs! Shop online now.		furniture > beds & accessories > beds & bed frames	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RubyQueen-FA01_81f71865-d3d2-4a3b-959d-01d5251412e6.jpg?v=1703867763		https://www.omf.net.au/products/ruby-upholstered-db-bed-frame-with-usb-ports?variant=42647857725637&currency=AUD	Bed Frame		0 kg	
Elegance Soft Queen Mattress | OMF	shopify_AU_6153523232965_37876821786821	3548.00 AUD	8	18	1384.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Experience unbeatable comfort with the Elegance Soft Queen Mattress from OMF. Our premium design caters to your restful sleep needs. Shop today for a revitalised tomorrow.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/ElegancePlushFA.png?v=1697042009		https://www.omf.net.au/products/elegance-soft-qn-mattress?variant=37876821786821&currency=AUD	Mattress	16	0 kg	
